Airport_Type,Airport_Name,Country,Airport_Code,Longitude,Latitude,Country_Name
small_airport,Pulau Pangkor Airport,MY,PKG,100.5530014,4.244719982,Malaysia
small_airport,LTS Pulau Redang Airport,MY,RDN,103.0070038,5.76527977,Malaysia
medium_airport,Sultan Abdul Aziz Shah International Airport,MY,SZB,101.5490036,3.130579948,Malaysia
small_airport,Decatur Shores Airport,US,DTR,-122.814003,48.49980164,United States
small_airport,Wanuma Airport,PG,WNU,145.3213,-4.8961,Papua New Guinea
small_airport,Atauro Airport,TL,AUT,125.606378,-8.243133,Timor-Leste
medium_airport,Suai Airport,TL,UAI,125.2870026,-9.303310394,Timor-Leste
medium_airport,Presidente Nicolau Lobato International Airport,TL,DIL,125.526001,-8.54640007,Timor-Leste
medium_airport,Cakung Airport,TL,BCH,126.401001,-8.489029884,Timor-Leste
small_airport,Maliana Airport,TL,MPT,125.214996,-8.97224,Timor-Leste
medium_airport,Rota Do Sândalo Oecusse Airport,TL,OEC,124.343002,-9.19806,Timor-Leste
small_airport,Viqueque Airport,TL,VIQ,126.3730011,-8.883799553,Timor-Leste
small_airport,Haliwen Airport,ID,ABU,124.9049988,-9.073049545,Indonesia
small_airport,Gewayentana Airport,ID,LKA,123.002,-8.274424,Indonesia
small_airport,David Constantijn Saudale Airport,ID,RTI,123.0747,-10.7673,Indonesia
small_airport,Sanggata/Sangkimah Airport,ID,SGQ,117.543,0.3847,Indonesia
small_airport,Long Bawan Airport,ID,LBW,115.6921,3.9028,Indonesia
small_airport,Bontang Airport,ID,BXT,117.474998,0.119691,Indonesia
small_airport,Nunukan Airport,ID,NNX,117.6666667,4.133333333,Indonesia
small_airport,Tanah Grogot Airport,ID,TNB,116.2020035,-1.910130024,Indonesia
small_airport,Long Apung Airport,ID,LPU,114.970297,1.704486,Indonesia
heliport,Senipah Heliport,ID,SZH,117.147701,-0.975679,Indonesia
small_airport,Wasua Airport,PG,WSA,142.8697,-8.2836,Papua New Guinea
medium_airport,Paya Lebar Air Base,SG,QPG,103.9100037,1.360419989,Singapore
medium_airport,Tengah Air Base,SG,TGA,103.7089996,1.38725996,Singapore
seaplane_base,Steamboat Bay Seaplane Base,US,WSB,-133.6419983,55.52959824,United States
seaplane_base,San Juan /Uganik/ Seaplane Base,US,UGI,-153.320999,57.7304,United States
small_airport,Wiseman Airport,US,WSM,-150.1230011,67.40460205,United States
medium_airport,Seletar Airport,SG,XSP,103.8679962,1.416949987,Singapore
large_airport,Singapore Changi Airport,SG,SIN,103.994003,1.35019,Singapore
small_airport,Wantoat Airport,PG,WTT,146.4677778,-6.1325,Papua New Guinea
small_airport,Wuvulu Island Airport,PG,WUV,142.8366667,-1.736111111,Papua New Guinea
small_airport,Glendale Fokker Field,US,GWV,-80.7594986,39.94869995,United States
small_airport,Urad Middle Banner,CN,WZQ,108.53454,41.45958,China
closed,W. H. Bramble Airport,MS,MNI,-62.15639877,16.75889969,Montserrat
seaplane_base,Miami Seaplane Base,US,MPB,-80.17030334,25.77829933,United States
seaplane_base,Blubber Bay Seaplane Base,CA,XBB,-124.621064,49.793958,Canada
small_airport,Biniguni Airport,PG,XBN,149.3038889,-9.6425,Papua New Guinea
small_airport,Xinguara Municipal Airport,BR,XIG,-49.9765,-7.0906,Brazil
closed,Long Xuyên Airport,VN,XLO,105.473144,10.330134,Viet Nam
small_airport,Maramag Airport,PH,XMA,125.0333,7.7538,Philippines
closed,Flughafen München-Riem,DE,MUC,11.69029999,48.13779831,Germany
closed,Quảng Ngãi Airfield,VN,XNG,108.771816,15.115474,Viet Nam
small_airport,Xinbarag Youqi Baogede Airport,CN,XRQ,116.939382,48.575585,China
medium_airport,Smolensk North Airport,RU,LNX,32.025,54.824,Russian Federation
small_airport,Vinh Long Airfield,VN,XVL,105.9445,10.2509,Viet Nam
medium_airport,Modi,US,XXZ,179.999894,89.999845,United States
heliport,Macau Heliport at Outer Harbour Ferry Terminal,MO,XZM,113.559,22.1971,Macao
small_airport,Waukon Municipal Airport,US,UKN,-91.46949768,43.2804985,United States
medium_airport,Albany Airport,AU,ALH,117.8089981,-34.94329834,Australia
small_airport,Abingdon Downs Airport,AU,ABG,143.1670074,-17.61669922,Australia
small_airport,Alton Downs Airport,AU,AWN,139.259906,-26.488959,Australia
small_airport,Augustus Downs Airport,AU,AUD,139.878006,-18.51499939,Australia
seaplane_base,Lyall Harbour Seaplane Base,CA,YAJ,-123.1816,48.7952,Canada
small_airport,Marla Airport,AU,MRP,133.6269989,-27.33329964,Australia
small_airport,Alexandria Homestead Airport,AU,AXL,136.7100067,-19.06019974,Australia
small_airport,Aramac Airport,AU,AXC,145.2420044,-22.9666996,Australia
small_airport,Andamooka Airport,AU,ADO,137.136993,-30.438299,Australia
small_airport,Ammaroo Airport,AU,AMX,135.2420044,-21.73830032,Australia
small_airport,Amata Airport,AU,AMT,131.202732,-26.097363,Australia
small_airport,West Angelas Airport,AU,WLP,118.7072222,-23.13555556,Australia
small_airport,Anthony Lagoon Airport,AU,AYL,135.5350685,-18.01807903,Australia
medium_airport,Alpha Airport,AU,ABH,146.584,-23.646099,Australia
seaplane_base,Maple Bay Seaplane Base,CA,YAQ,-123.6084,48.8167,Canada
medium_airport,Ararat Airport,AU,ARY,142.9889984,-37.30939865,Australia
small_airport,Argyle Airport,AU,GYL,128.451004,-16.6369,Australia
medium_airport,Armidale Airport,AU,ARM,151.6170044,-30.52809906,Australia
small_airport,Arrabury Airport,AU,AAB,141.047771,-26.693023,Australia
small_airport,Aurukun Airport,AU,AUU,141.72065,-13.354067,Australia
small_airport,Austral Downs Airport,AU,AWP,137.75,-20.5,Australia
small_airport,Auvergne Airport,AU,AVG,130,-15.69999981,Australia
medium_airport,Ayers Rock Connellan Airport,AU,AYQ,130.975998,-25.1861,Australia
small_airport,Ayr Airport,AU,AYR,147.3289948,-19.58440018,Australia
small_airport,Brisbane Archerfield Airport,AU,ACF,153.0079956,-27.57029915,Australia
small_airport,Northern Peninsula Airport,AU,ABM,142.459,-10.9508,Australia
medium_airport,Barcaldine Airport,AU,BCI,145.3070068,-23.56529999,Australia
medium_airport,Alice Springs Airport,AU,ASP,133.9019928,-23.80669975,Australia
small_airport,Badu Island Airport,AU,BDD,142.1734,-10.14999962,Australia
small_airport,Barkly Downs Airport,AU,BKP,138.4747222,-20.49583333,Australia
small_airport,Big Bell Airport,AU,BBE,117.6729965,-27.32859993,Australia
large_airport,Brisbane International Airport,AU,BNE,153.1170044,-27.38419914,Australia
medium_airport,Gold Coast Airport,AU,OOL,153.5050049,-28.1644001,Australia
medium_airport,Blackall Airport,AU,BKQ,145.4290009,-24.42779922,Australia
medium_airport,Cairns International Airport,AU,CNS,145.7550049,-16.88579941,Australia
medium_airport,Charleville Airport,AU,CTL,146.2619934,-26.41329956,Australia
small_airport,Bedford Downs Airport,AU,BDW,127.4629974,-17.2866993,Australia
small_airport,Bendigo Airport,AU,BXG,144.3300018,-36.73939896,Australia
medium_airport,Birdsville Airport,AU,BVI,139.3480072,-25.89749908,Australia
small_airport,Bellburn Airstrip,AU,BXF,128.305,-17.545,Australia
small_airport,Betoota Airport,AU,BTX,140.7830048,-25.64170074,Australia
small_airport,Beagle Bay Airport,AU,BEE,122.6464,-17.0165,Australia
small_airport,Boolgeeda,AU,OCM,117.275,-22.54,Australia
small_airport,Balgo Hill Airport,AU,BQW,127.973,-20.1483,Australia
seaplane_base,Bull Harbour Water Aerodrome,CA,YBH,-127.9372,50.9179,Canada
medium_airport,Broken Hill Airport,AU,BHQ,141.4720001,-32.00139999,Australia
medium_airport,Hamilton Island Airport,AU,HTI,148.9519959,-20.35810089,Australia
medium_airport,Bedourie Airport,AU,BEU,139.4600067,-24.34609985,Australia
small_airport,Billiluna Airport,AU,BIW,127.6669998,-19.56669998,Australia
small_airport,Bizant Airport,AU,BZP,144.1194444,-14.74027778,Australia
seaplane_base,Baie-Johan-Beetz Water Aerodrome,CA,YBJ,-62.8063,50.2838,Canada
medium_airport,Bourke Airport,AU,BRK,145.9519958,-30.03919983,Australia
small_airport,Burketown Airport,AU,BUC,139.5339966,-17.74860001,Australia
medium_airport,Benalla Airport,AU,BLN,146.0070038,-36.55189896,Australia
small_airport,Balcanoona Airport,AU,LCN,139.3370056,-30.53499985,Australia
small_airport,Bollon Airport,AU,BLS,147.4830017,-28.05830002,Australia
small_airport,Busselton Regional Airport,AU,BQB,115.4015961,-33.68842316,Australia
medium_airport,Mount Isa Airport,AU,ISA,139.4889984,-20.66390038,Australia
medium_airport,Sunshine Coast Airport,AU,MCY,153.091003,-26.6033,Australia
small_airport,Bloomfield River Airport,AU,BFC,145.3300018,-15.87360001,Australia
medium_airport,Mackay Airport,AU,MKY,149.1799927,-21.17169952,Australia
medium_airport,Ballina Byron Gateway Airport,AU,BNK,153.5619965,-28.83390045,Australia
medium_airport,Bairnsdale Airport,AU,BSJ,147.5679932,-37.88750076,Australia
small_airport,Boigu Airport,AU,GIC,142.2180023,-9.232780457,Australia
medium_airport,Oakey Airport,AU,OKY,151.7350006,-27.41139984,Australia
medium_airport,Boulia Airport,AU,BQL,139.8999939,-22.91329956,Australia
